rxns	rxnKEGGID	rxnBiGGID	rxnEHMNID	rxnHepatoNET1ID	rxnREACTOMEID	rxnRecon3DID	rxnMetaNetXID	rxnHMR2ID	rxnRatconID	rxnTCDBID	spontaneous	rxnMAID
HMR_4574	R01863	PUNP5	R01863C	r0415		PUNP5	MNXR103347	HMR_4574	RCR11122		0	MA_04574
HMR_4600	R01967		R01967M	r0456		r0456	MNXR97323	HMR_4600	RCR14238		0	MA_04600
HMR_4602	R01968	NTD8	R01968C	r0458		NTD8	MNXR102038	HMR_4602	RCR14239		0	MA_04602
HMR_4603	R01969	PUNP4	R01969C	r0459		PUNP4	MNXR103346	HMR_4603	RCR14240		0	MA_04603
HMR_4611	R02014		R02017C	r0470		r0470	MNXR104060; MNXR104070	HMR_4611	RCR10480		0	MA_04611
HMR_4612	R02017	RNDR1	R02017C	r0471		RNDR1	MNXR104060	HMR_4612	RCR10481		0	MA_04612
HMR_4614	R02020		R02017C	r0472		r0472	MNXR104060; MNXR104073	HMR_4614	RCR10482		0	MA_04614
HMR_4615	R02019	RNDR2	R02017C	r0473		RNDR2	MNXR104060; MNXR104062	HMR_4615	RCR10483		0	MA_04615
HMR_4617	R02022		R02017C	r0474		r0474	MNXR104060; MNXR104076	HMR_4617	RCR11123		0	MA_04617
HMR_4618	R02023		R02017C	r0475		r0475	MNXR104060; MNXR104079	HMR_4618	RCR11124		0	MA_04618
HMR_4619	R02024	RNDR3	R02017C	r0476		RNDR3	MNXR104060; MNXR104064	HMR_4619	RCR10484		0	MA_04619
HMR_4621	R02018	RNDR4	R02017C	r0477		RNDR4	MNXR104060; MNXR104066	HMR_4621	RCR10485		0	MA_04621
HMR_4632	R02088	NTD6	R02088C	r0492		NTD6	MNXR102036	HMR_4632	RCR14241		0	MA_04632
HMR_4646	R02103		R02103X	r0502		r0502	MNXR105225	HMR_4646	RCR10486		0	MA_04646
HMR_4648	R02103	XANDp	R02103X	r0503		XANDp	MNXR105225	HMR_4648	RCR11125		0	MA_04648
HMR_4649	R02107		R02107X	r0504		r0504	MNXR105228	HMR_4649	RCR10487		0	MA_04649
HMR_4650	R02107	XAOx	R02107X	r0505		XAOx	MNXR105228	HMR_4650	RCR11126		0	MA_04650
HMR_4651	R02147	PUNP3	R02147C	r0506		PUNP3	MNXR103345	HMR_4651	RCR11127		0	MA_04651
HMR_4663	R02297	PUNP7	R02297C	r0521		PUNP7	MNXR103349	HMR_4663	RCR14242		0	MA_04663
HMR_4664	R02142					HMR_4664		HMR_4664	RCR14243		0	MA_04664
HMR_4694	R02556	DADA	R02556E	r0550		DADA	MNXR97076	HMR_4694	RCR14244		0	MA_04694
HMR_4695	R02557	PUNP2	R02557C	r0551		PUNP2	MNXR103344	HMR_4695	RCR14245		0	MA_04695
HMR_4705	R02719	NTD10	R02719C	r0566		NTD10	MNXR102029	HMR_4705	RCR14246		0	MA_04705
HMR_4709	R02748	PUNP6	R02748C	r0569		PUNP6	MNXR103348	HMR_4709	RCR11128		0	MA_04709
HMR_4799	R04144	PRAGSr	R04144C	r0659		PRAGSr	MNXR103139	HMR_4799	RCR11129		0	MA_04799
HMR_4802	R04208	PRAIS	R04208C	r0666		r0666	MNXR103157; MNXR108734	HMR_4802	RCR11130		0	MA_04802
HMR_4804	R04209	AIRCr	R04209C	r0667		AIRCr	MNXR108735; MNXR95646	HMR_4804	RCR11131		0	MA_04804
