mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID
"m00079p"	"m00079"	""	""	""	""	"53481417"	""	"CE5941"	""	"CE5941"	"MNXM30996"	"m00079p"
"m00080p"	"m00080"	""	""	""	""	"53481419"	""	"CE5935"	""	"CE5935"	"MNXM30997"	"m00080p"
"m00081m"	"m00081"	""	""	""	""	"53481423"	""	"CE2418"	""	"CE2418"	"MNXM31113"	"m00081m"
"m00081p"	"m00081"	""	""	""	""	"53481423"	""	"CE2418"	""	"CE2418"	"MNXM31113"	"m00081p"
"m00082m"	"m00082"	""	""	""	""	"53481428"	""	"CE2420"	""	"CE2420"	"MNXM31119"	"m00082m"
"m00082p"	"m00082"	""	""	""	""	"53481428"	""	"CE2420"	""	"CE2420"	"MNXM31119"	"m00082p"
"m00083m"	"m00083"	""	""	""	""	"53481430"	""	"CE2421"	""	"CE2421"	"MNXM31120"	"m00083m"
"m00083p"	"m00083"	""	""	""	""	"53481430"	""	"CE2421"	""	"CE2421"	"MNXM31120"	"m00083p"
"m00084m"	"m00084"	"citmcoa__L"	"C01011"	"HMDB06345"	"CHEBI:36882"	"53477827"	""	""	""	"citmcoa_L"	"MNXM1251; MNXM163785"	"m00084m"
"m00085c"	"m00085"	""	""	""	""	""	""	""	""	"M00085"	""	"m00085c"
"m00086c"	"m00086"	""	""	""	""	""	""	""	""	"M00086"	""	"m00086c"
"m00087c"	"m00087"	""	""	""	""	""	""	"CE4840"	""	"CE4840"	"MNXM163965"	"m00087c"
"m00088m"	"m00088"	"dd3coa"	"C02944"	""	"CHEBI:27989"	"16061154"	"LMFA07050009"	""	"HC01022"	"dd3coa"	"MNXM14550"	"m00088m"
"m00088p"	"m00088"	"dd3coa"	"C02944"	""	"CHEBI:27989"	"16061154"	"LMFA07050009"	""	"HC01022"	"dd3coa"	"MNXM14550"	"m00088p"
"m00089m"	"m00089"	""	""	""	""	""	""	"CE2442"	""	"CE2442"	""	"m00089m"
"m00089p"	"m00089"	""	""	""	""	""	""	"CE2442"	""	"CE2442"	""	"m00089p"
"m00090p"	"m00090"	""	""	""	""	"53481434"	""	"CE5938"	""	"CE5938"	"MNXM31216"	"m00090p"
"m00091m"	"m00091"	""	""	""	""	""	""	"CE2440"	""	"CE2440"	""	"m00091m"
"m00091p"	"m00091"	""	""	""	""	""	""	"CE2440"	""	"CE2440"	""	"m00091p"
"m00092c"	"m00092"	"dcsptn1crn"	""	""	""	""	""	""	""	"dcsptn1crn"	"MNXM8558"	"m00092c"
"m00092m"	"m00092"	"dcsptn1crn"	""	""	""	""	""	""	""	"dcsptn1crn"	"MNXM8558"	"m00092m"
"m00092r"	"m00092"	"dcsptn1crn"	""	""	""	""	""	""	""	"dcsptn1crn"	"MNXM8558"	"m00092r"
"m00093c"	"m00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093c"
"m00093m"	"m00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093m"
"m00093p"	"m00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093p"
"m00093r"	"m00093"	"dcsptn1coa"	"C16173"	""	""	"23724650"	"LMFA07050043"	""	""	"dcsptn1coa"	"MNXM3265"	"m00093r"
"m00094c"	"m00094"	"dcsptn1"	""	"HMDB13123"	"CHEBI:65136"	"159656"	"LMFA04000064"	""	""	"dcsptn1"	"MNXM11427"	"m00094c"
