genes	geneENSTID	geneENSPID	geneUniProtID	geneNames	geneEntrezID
"ENSG00000006534"	"ENST00000617449;ENST00000619675;ENST00000612297;ENST00000614849;ENST00000616697;ENST00000527514;ENST00000615463;ENST00000617288;ENST00000342456"	"ENSP00000478486;ENSP00000481604;ENSP00000483988;ENSP00000484901;ENSP00000479948;ENSP00000473990;ENSP00000477789;ENSP00000478632;ENSP00000478380"	"P43353"	"ALDH3B1"	"221"
"ENSG00000006625"	"ENST00000275428;ENST00000440082;ENST00000409436;ENST00000426081;ENST00000409390;ENST00000005374;ENST00000447901;ENST00000409144"	"ENSP00000005374;ENSP00000408015;ENSP00000387235;ENSP00000386610;ENSP00000275428;ENSP00000386686;ENSP00000390094;ENSP00000387809"	"O75223"	"GGCT"	"79017"
"ENSG00000006695"	"ENST00000664217;ENST00000670279;ENST00000580561;ENST00000429152;ENST00000581931;ENST00000261643"	"ENSP00000261643;ENSP00000462512;ENSP00000499450;ENSP00000462190;ENSP00000397750;ENSP00000499396"	"Q12887"	"COX10"	"1352"
"ENSG00000006756"	"ENST00000381154;ENST00000458014;ENST00000559324"	"ENSP00000370546;ENSP00000453789;ENSP00000409180"	"P51689"	"ARSD"	"414"
"ENSG00000006757"	"ENST00000444736;ENST00000537427;ENST00000381042;ENST00000442940"	"ENSP00000406698;ENSP00000370430;ENSP00000443157;ENSP00000415245"	"P41247"	"PNPLA4"	"8228"
"ENSG00000006837"	"ENST00000521118;ENST00000520693;ENST00000519312;ENST00000523054;ENST00000265334;ENST00000520592;ENST00000518990;ENST00000523832;ENST00000521755"	"ENSP00000430496;ENSP00000428500;ENSP00000428498;ENSP00000427738;ENSP00000427836;ENSP00000430777;ENSP00000427964;ENSP00000265334;ENSP00000428689"	"Q8IVW4"	"CDKL3"	"51265"
"ENSG00000007001"	"ENST00000605860;ENST00000005756"	"ENSP00000005756;ENSP00000474090"	"O95045"	"UPP2"	"151531"
"ENSG00000007047"	"ENST00000592762;ENST00000262891;ENST00000590909;ENST00000300843;ENST00000592207;ENST00000587566;ENST00000620044;ENST00000622871"	"ENSP00000465414;ENSP00000300843;ENSP00000466702;ENSP00000480702;ENSP00000466843;ENSP00000262891;ENSP00000465613;ENSP00000484974"	"Q96L34"	"MARK4"	"57787"
"ENSG00000007168"	"ENST00000675390;ENST00000676353;ENST00000676098;ENST00000576586;ENST00000675331;ENST00000676188;ENST00000676077;ENST00000570400;ENST00000674608;ENST00000675621;ENST00000574468;ENST00000675202;ENST00000674717;ENST00000397195;ENST00000675764"	"ENSP00000502507;ENSP00000502737;ENSP00000460591;ENSP00000502031;ENSP00000502117;ENSP00000501976;ENSP00000460258;ENSP00000501969;ENSP00000502735;ENSP00000380378;ENSP00000502843;ENSP00000501931;ENSP00000502577;ENSP00000461087;ENSP00000502242"	"P43034"	"PAFAH1B1"	"5048"
"ENSG00000007171"	"ENST00000646938;ENST00000621962;ENST00000313735"	"ENSP00000327251;ENSP00000482291;ENSP00000494870"	"P35228"	"NOS2"	"4843"
"ENSG00000007216"	"ENST00000444914;ENST00000545060;ENST00000579281;ENST00000459818;ENST00000314669;ENST00000577903"	"ENSP00000392411;ENSP00000441935;ENSP00000463421;ENSP00000316202;ENSP00000463457;ENSP00000464074"	"Q13183"	"SLC13A2"	"9058"
"ENSG00000007264"	"ENST00000310132;ENST00000588983;ENST00000590980;ENST00000591059;ENST00000619596;ENST00000590028;ENST00000587180;ENST00000395040;ENST00000395045;ENST00000585778;ENST00000590493;ENST00000590849"	"ENSP00000378485;ENSP00000465761;ENSP00000467006;ENSP00000468030;ENSP00000468465;ENSP00000468576;ENSP00000308734;ENSP00000378481;ENSP00000467472;ENSP00000467992;ENSP00000483213;ENSP00000465556"	"P42679"	"MATK"	"4145"
"ENSG00000007350"	"ENST00000369915;ENST00000426989;ENST00000369912;ENST00000439635;ENST00000426203"	"ENSP00000358928;ENSP00000358931;ENSP00000401111;ENSP00000416552;ENSP00000399763"	"P51854"	"TKTL1"	"8277"
"ENSG00000007541"	"ENST00000420990;ENST00000321878;ENST00000636005;ENST00000540241;ENST00000422307;ENST00000443147;ENST00000638143;ENST00000293874;ENST00000026218;ENST00000635205;ENST00000636657;ENST00000637468;ENST00000470411;ENST00000439574;ENST00000635909;ENST00000409527"	"ENSP00000413753;ENSP00000326674;ENSP00000409341;ENSP00000490267;ENSP00000026218;ENSP00000387820;ENSP00000410434;ENSP00000490087;ENSP00000439650;ENSP00000490672;ENSP00000489216;ENSP00000386760;ENSP00000490695;ENSP00000490498;ENSP00000293874;ENSP00000439374"	"Q9BRB3"	"PIGQ"	"9091"
"ENSG00000007933"	"ENST00000479749;ENST00000472784;ENST00000367755"	"ENSP00000476963;ENSP00000356729;ENSP00000477451"	"P31513"	"FMO3"	"2328"
"ENSG00000007944"	"ENST00000356840;ENST00000349606"	"ENSP00000349298;ENSP00000008686"	"Q8WY64"	"MYLIP"	"29116"
"ENSG00000008086"	"ENST00000637881;ENST00000623364;ENST00000379996;ENST00000623535;ENST00000379989;ENST00000635828;ENST00000624700;ENST00000624953;ENST00000463994;ENST00000674046"	"ENSP00000369325;ENSP00000485581;ENSP00000485184;ENSP00000485244;ENSP00000489879;ENSP00000501174;ENSP00000369332;ENSP00000485359;ENSP00000490170;ENSP00000485625"	"O76039"	"CDKL5"	"6792"
"ENSG00000008118"	"ENST00000651530;ENST00000009105;ENST00000423146;ENST00000361322"	"ENSP00000392173;ENSP00000354861;ENSP00000498823;ENSP00000009105"	"Q96NX5"	"CAMK1G"	"57172"
"ENSG00000008128"	"ENST00000358779;ENST00000509982;ENST00000401096;ENST00000404249;ENST00000378633;ENST00000357760;ENST00000460465;ENST00000479362;ENST00000378638;ENST00000356200"	"ENSP00000383874;ENSP00000350403;ENSP00000348529;ENSP00000423900;ENSP00000367900;ENSP00000384442;ENSP00000422149;ENSP00000462289;ENSP00000351629;ENSP00000367905"	"Q9UQ88"	"CDK11A"	"728642"
"ENSG00000008130"	"ENST00000489538;ENST00000497186;ENST00000341426;ENST00000341991;ENST00000469045;ENST00000378625;ENST00000498806;ENST00000342348"	"ENSP00000344340;ENSP00000367890;ENSP00000341679;ENSP00000462589;ENSP00000339727;ENSP00000464137;ENSP00000464096;ENSP00000462999"	"O95544"	"NADK"	"65220"
"ENSG00000008300"	"ENST00000164024"	"ENSP00000164024"	"Q9NYQ7"	"CELSR3"	"1951"
"ENSG00000008311"	"ENST00000417368;ENST00000393376;ENST00000426162;ENST00000358954;ENST00000431170"	"ENSP00000377040;ENSP00000414001;ENSP00000394180;ENSP00000403768;ENSP00000351834"	"Q9UDR5"	"AASS"	"10157"
"ENSG00000008394"	"ENST00000538885;ENST00000543076;ENST00000536371;ENST00000535309;ENST00000540056;ENST00000396210;ENST00000396207;ENST00000396209;ENST00000010404;ENST00000540126"	"ENSP00000379513;ENSP00000442970;ENSP00000442557;ENSP00000379512;ENSP00000442767;ENSP00000010404;ENSP00000440443;ENSP00000438308;ENSP00000379510;ENSP00000437988"	"P10620"	"MGST1"	"4257"
"ENSG00000008438"	"ENST00000008938"	"ENSP00000008938"	"O75594"	"PGLYRP1"	"8993"
"ENSG00000008513"	"ENST00000399640;ENST00000648219;ENST00000521180;ENST00000519924;ENST00000517668;ENST00000523854;ENST00000523855;ENST00000523634;ENST00000522652"	"ENSP00000429638;ENSP00000427786;ENSP00000497381;ENSP00000430135;ENSP00000427720;ENSP00000429936;ENSP00000414073;ENSP00000430515;ENSP00000428540"	"Q11201"	"ST3GAL1"	"6482"
"ENSG00000009335"	"ENST00000611269;ENST00000348165;ENST00000389103;ENST00000430750"	"ENSP00000309198;ENSP00000397432;ENSP00000481584;ENSP00000373755"	"Q15386"	"UBE3C"	"9690"
"ENSG00000009413"	"ENST00000619481;ENST00000422377;ENST00000413831;ENST00000435970;ENST00000368802;ENST00000434009;ENST00000358835"	"ENSP00000351697;ENSP00000393184;ENSP00000482892;ENSP00000391605;ENSP00000402003;ENSP00000400600;ENSP00000357792"	"O60673"	"REV3L"	"5980"
"ENSG00000009830"	"ENST00000556394;ENST00000261534;ENST00000554948;ENST00000556326;ENST00000555710;ENST00000557289;ENST00000556171;ENST00000602717"	"ENSP00000261534;ENSP00000452060;ENSP00000450630;ENSP00000451730;ENSP00000487704;ENSP00000451115;ENSP00000451651;ENSP00000451967"	"Q9UKY4"	"POMT2"	"29954"
"ENSG00000010165"	"ENST00000361735;ENST00000362019;ENST00000367737"	"ENSP00000354920;ENSP00000356711;ENSP00000355393"	"Q8N6R0"	"EEF1AKNMT"	"51603"
"ENSG00000010219"	"ENST00000537719;ENST00000010132;ENST00000544671;ENST00000539309;ENST00000540757;ENST00000539701;ENST00000543431"	"ENSP00000441996;ENSP00000010132;ENSP00000444842;ENSP00000438769;ENSP00000441755;ENSP00000439168;ENSP00000439697"	"Q9NR20"	"DYRK4"	"8798"
"ENSG00000010256"	"ENST00000415995;ENST00000203407;ENST00000412343"	"ENSP00000203407;ENSP00000388660;ENSP00000393696"	"P31930"	"UQCRC1"	"7384"
"ENSG00000010379"	"ENST00000539260;ENST00000546319;ENST00000542272;ENST00000445055;ENST00000343164;ENST00000436453"	"ENSP00000389316;ENSP00000443466;ENSP00000339260;ENSP00000407104;ENSP00000444606;ENSP00000437386"	"Q9NSD5"	"SLC6A13"	"6540"
"ENSG00000010404"	"ENST00000521702;ENST00000464251;ENST00000340855;ENST00000466323;ENST00000370441;ENST00000428056"	"ENSP00000359470;ENSP00000390241;ENSP00000428980;ENSP00000339801;ENSP00000429745;ENSP00000418264"	"P22304"	"IDS"	"3423"
"ENSG00000010671"	"ENST00000308731;ENST00000372880;ENST00000618050;ENST00000621635"	"ENSP00000361971;ENSP00000308176;ENSP00000479125;ENSP00000483570"	"Q06187"	"BTK"	"695"
"ENSG00000010810"	"ENST00000368678;ENST00000487824;ENST00000368667;ENST00000538466;ENST00000354650;ENST00000523570;ENST00000229471;ENST00000518295;ENST00000368682;ENST00000520518;ENST00000524310;ENST00000523238;ENST00000462598;ENST00000523574;ENST00000484067;ENST00000518630;ENST00000521062;ENST00000462856;ENST00000517419"	"ENSP00000357656;ENSP00000346671;ENSP00000428042;ENSP00000429866;ENSP00000429813;ENSP00000427993;ENSP00000229471;ENSP00000428695;ENSP00000428493;ENSP00000430364;ENSP00000430455;ENSP00000428045;ENSP00000429590;ENSP00000428983;ENSP00000357671;ENSP00000429992;ENSP00000440646;ENSP00000357667;ENSP00000429294"	"P06241"	"FYN"	"2534"
